,p1_name,p1_games_won,p1_aces,p1_double_faults,p1_first_serves_in,p1_first_serve_points_won,p1_second_serve_points_won,p2_name,p2_games_won,p2_aces,p2_double_faults,p2_first_serves_in,p2_first_serve_points_won,p2_second_serve_points_won,p1_sets_won,p2_sets_won,p1_ranking_points,p2_ranking_points,y
8160,Mikael Ymer,6,1,0.0,0.975,0.692,0.0,Tallon Griekspoor,6,5,0.025,0.675,0.704,0.615,0,1,741,789,1
8232,Stefanos Tsitsipas,7,6,0.022,0.522,0.667,0.545,Emil Ruusuvuori,5,1,0.053,0.579,0.682,0.438,1,0,5940,846,0
8304,Alejandro Davidovich Fokina,6,2,0.025,0.5,0.75,0.45,Constant Lestienne,4,0,0.034,0.69,0.55,0.667,1,0,1300,841,0
8306,Aslan Karatsev,6,4,0.103,0.692,0.815,0.333,Jason Kubler,6,5,0.0,0.636,0.81,0.667,0,1,530,693,1
8308,Lorenzo Sonego,6,2,0.077,0.615,0.875,0.6,Andy Murray,4,0,0.042,0.708,0.765,0.429,1,0,745,750,1
8310,Lorenzo Sonego,1,4,0.08,0.5575,0.8125,0.425,Andy Murray,6,1,0.021,0.7484999999999999,0.8160000000000001,0.5895,1,1,745,750,1
8312,Oleksii Krutykh,0,1,0.042,0.583,0.5,0.2,Liam Broady,6,1,0.0,0.5,0.778,0.667,0,1,355,396,1
8314,Oleksii Krutykh,6,4,0.045,0.5535,0.591,0.35,Liam Broady,4,2,0.0,0.519,0.746,0.5,1,1,355,396,1
8316,Damir Dzumhur,3,0,0.045,0.636,0.571,0.25,Jiri Lehecka,6,3,0.0,0.562,0.778,0.429,0,1,266,842,1
8388,Emil Ruusuvuori,7,4,0.121,0.576,0.684,0.4,Daniel Evans,5,1,0.103,0.59,0.652,0.188,1,0,846,1380,0
8460,Ilya Ivashka,2,0,0.0,0.6,0.444,0.5,Botic Van De Zandschulp,6,2,0.029,0.794,0.704,0.286,0,1,651,1160,1
8532,Nikoloz Basilashvili,6,4,0.102,0.714,0.6,0.357,Alexandre Muller,6,0,0.028,0.639,0.783,0.462,0,1,475,345,1
8604,Nikoloz Basilashvili,6,8,0.0615,0.6799999999999999,0.6385000000000001,0.443,Alexandre Muller,6,1,0.014,0.6975,0.7295,0.5035000000000001,1,1,475,345,1
